Text,Category
2g1c,Explicit
2 girls 1 cup,Explicit
acrotomophilia,Derogatory Slang
airhead,Insults & Personal Attacks
alabama hot pocket,Explicit
alaskan pipeline,Explicit
anal,Explicit
anilingus,Explicit
annoying,Insults & Personal Attacks
anus,Explicit
apeshit,Vulgar
arse ,Explicit
arsehole,Explicit
ass,Vulgar
asshole,Explicit
assmunch,Vulgar
auto erotic,Explicit
autoerotic,Explicit
babeland,Explicit
baby batter,Explicit
baby juice,Explicit
bag of dicks,Explicit
ball gag,Explicit
ball gravy,Vulgar
ball kicking,Vulgar
ball licking,Explicit
ball sack,Explicit
ball sucking,Explicit
bangbros,Explicit
bareback,Vulgar
barely legal sex,Explicit
barenaked,Vulgar
bastard,Threatening/Violent
bastardo,Threatening/Violent
bastinado,Threatening/Violent
batty boy,Derogatory Slang
bawbag,Vulgar
bbw,Explicit
bdsm,Explicit
beaner,Hate Speech/Discrimination
beaners,Hate Speech/Discrimination
beat you up,Threatening/Violent
beaver,Vulgar
beaver cleaver,Vulgar
beaver lips,Explicit
Beef-curtains,Vulgar
bellend,Vulgar
bestiality,Explicit
bible basher,Hate Speech/Discrimination
big black,Hate Speech/Discrimination
big breasts,Explicit
big knockers,Explicit
big tits,Explicit
bimbos,Derogatory Slang
bint,Derogatory Slang
birdlock,Vulgar
bitch,Explicit
bitches,Explicit
black cock,Explicit
blockhead,Insults & Personal Attacks
blonde action,Explicit
blonde on blonde action,Explicit
bloodclaat,Insults & Personal Attacks
blowjob,Explicit
blow job,Explicit
blow your load,Explicit
blue waffle,Explicit
blumpkin,Explicit
bollocks,Vulgar
bondage,Explicit
boner,Vulgar
boob,Explicit
boobs,Explicit
boomer,Hate Speech/Discrimination
booty call,Explicit
brain dead,Insults & Personal Attacks
braindead,Insults & Personal Attacks
brown showers,Explicit
brunette action,Explicit
bukkake,Explicit
bulldyke,Explicit
bullet vibe,Explicit
bullshit,Vulgar
bullshittery,Vulgar
bullshit shag,Explicit
bum boy,Hate Speech/Discrimination
bumclat,Vulgar
bumberclat,Vulgar
